Country,Marrirate,Divrate
 Albania,8.1,1.7
 Algeria,10.1,1.6
 Armenia,6,1
 Australia,4.6,2
 Austria,5.3,1.8
 Azerbaijan,9.7,1.5
 Bahamas,6.1,1
 Belarus,9.2,4.1
 Belgium,3.9,2.1
 Bermuda,10.6,2.7
 Bosnia and Herzegovina,4.8,0.6
 Brazil,6.6,1.4
 Bulgaria,4.1,1.5
 Canada,4.4,2.1
 Chile,3.3,0.7
 China,7.2,3.2
 Colombia,2.3,0.7
 Costa Rica,5.3,2.5
 Croatia,4.9,1.5
 Cuba,5.2,2.9
 Cyprus,6.8,2.2
 Czech Republic,5.1,2.3
 Denmark,5.6,2.6
 Dominican Republic,4.4,1.8
 Ecuador,5.6,1.1
 Egypt,11,1.9
 El Salvador,3.5,0.8
 Estonia,5,2.4
 EU,4.4,2
 Finland,4.3,2.4
 France,3.7,1.9
 Georgia,6.9,1.3
 Germany,4.9,1.9
 Gibraltar,6.7,3.2
 Grenada,5,1.1
 Greece,4.7,1.8
 Guatemala,3.8,1.2
 Hungary,5.2,1.7
 Iceland,4.9,1.8
 Iran,11.2,1.6
 Ireland,4.6,0.7
 Israel,6.5,1.8
 Italy,3.2,1.5
 Jamaica,7.5,1.5
 Japan,4.8,1.7
 Jordan,6.7,1.8
 Kazakhstan,32.3,4.6
 Kuwait,5.2,2.2
 Kyrgyzstan,9.7,1.6
 Latvia,6.8,3.1
 Lebanon,9.5,1.6
 Libya,10.8,2.5
 Liechtenstein,5,2.4
 Lithuania,7,3.1
 Luxembourg,3.1,2
 Malaysia,6.4,1.6
 Malta,5.8,0.7
 Mauritius,8.2,1.4
 Mexico,5.2,0.9
 Moldova,7.3,3.1
 Mongolia,3.4,1.1
 Montenegro,5.3,1.4
 Netherlands,3.7,1.8
 New Zealand,4.8,2
 Nicaragua,4.5,0.8
 Macedonia,6.5,0.8
 Norway,4.3,1.9
 Panama,3.7,1
 Poland,5.1,1.7
 Portugal,3.4,2
 Qatar,3.3,1.1
 Romania,7.4,1.6
 Russia,5.3,3.9
 Saint Lucia,2.8,0.7
 Saint Vincent and the Grenadines,5.8,0.8
 San Marino,6.1,2.5
 Saudi Arabia,5.6,2.1
 Serbia,5.2,1.4
 Seychelles,17.4,1.9
 Singapore,6.8,1.9
 Slovakia,5.7,1.8
 Slovenia,3.5,1.1
 South Africa,3.5,0.6
 South Korea,4.7,2.2
 Spain,3.5,2
 Suriname,4.2,1.3
 Sweden,5,2.5
  Switzerland,4.8,2
 Syria,10.6,1.3
 Taiwan,5.7,2.3
 Tajikistan,13.5,1.4
 Thailand,5.5,1.4
 Tonga,7.1,1.2
 Trinidad and Tobago,6.3,2.2
 Turkey,6.8,1.7
 Ukraine,4.06,2.88
 United Arab Emirates,2.8,0.7
 United Kingdom,4.4,1.8
 United States,6.5,2.9
 Uzbekistan,7.8,1.1
 Venezuela,3.3,1.2
 Vietnam,5.7,0.4
